,step,scenario,algorithm,length,qname_count,qname
101,new_rrsig-,1 AAAA RR with RRSIG for Wildcard (NSEC3),ecdsa384,1915,"[1, 5, 5]",wildcard.new_rrsig-ecdsa3843.example.
102,new_dnskey-,1 AAAA RR with RRSIG for Wildcard (NSEC3),ecdsa384,1922,"[1, 5, 5]",wildcard.new_dnskey-ecdsa3843.example.
103,dnskey_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC3),ecdsa384,1943,"[1, 5, 5]",wildcard.dnskey_removal-ecdsa3843.example.
104,rrsig_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC3),ecdsa384,1623,"[1, 3, 3]",wildcard.rrsig_removal-ecdsa3843.example.
105,initial-,1 AAAA RR with RRSIG for Wildcard (NSEC3),ed25519,409,"[1, 3, 3]",wildcard.initial-ed255193.example.
106,new_rrsig-,1 AAAA RR with RRSIG for Wildcard (NSEC3),ed25519,1847,"[1, 5, 5]",wildcard.new_rrsig-ed255193.example.
107,new_dnskey-,1 AAAA RR with RRSIG for Wildcard (NSEC3),ed25519,1854,"[1, 5, 5]",wildcard.new_dnskey-ed255193.example.
108,dnskey_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC3),ed25519,1868,"[1, 5, 5]",wildcard.dnskey_removal-ed255193.example.
109,rrsig_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC3),ed25519,1615,"[1, 3, 3]",wildcard.rrsig_removal-ed255193.example.
110,initial-,1 AAAA RR with RRSIG for Wildcard (NSEC3),ed448,503,"[1, 3, 3]",wildcard.initial-ed4483.example.
111,new_rrsig-,1 AAAA RR with RRSIG for Wildcard (NSEC3),ed448,1937,"[1, 5, 5]",wildcard.new_rrsig-ed4483.example.
112,new_dnskey-,1 AAAA RR with RRSIG for Wildcard (NSEC3),ed448,1942,"[1, 5, 5]",wildcard.new_dnskey-ed4483.example.
113,dnskey_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC3),ed448,1965,"[1, 5, 5]",wildcard.dnskey_removal-ed4483.example.
114,rrsig_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC3),ed448,1609,"[1, 3, 3]",wildcard.rrsig_removal-ed4483.example.
115,initial-,1 AAAA RR with RRSIG for Wildcard (NSEC3),falcon,1592,"[1, 3, 3]",wildcard.initial-falcon3.example.
116,new_rrsig-,1 AAAA RR with RRSIG for Wildcard (NSEC3),falcon,3014,"[1, 5, 5]",wildcard.new_rrsig-falcon3.example.
117,new_dnskey-,1 AAAA RR with RRSIG for Wildcard (NSEC3),falcon,3036,"[1, 5, 5]",wildcard.new_dnskey-falcon3.example.
118,dnskey_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC3),falcon,3050,"[1, 5, 5]",wildcard.dnskey_removal-falcon3.example.
119,rrsig_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC3),falcon,1616,"[1, 3, 3]",wildcard.rrsig_removal-falcon3.example.
120,initial-,NSEC Proof of NX,rsasha1,799,"[1, 4, 4]",nx.initial-rsasha1.example.
121,new_rrsig-,NSEC Proof of NX,rsasha1,2240,"[1, 6, 6]",nx.new_rrsig-rsasha1.example.
122,new_dnskey-,NSEC Proof of NX,rsasha1,2242,"[1, 6, 6]",nx.new_dnskey-rsasha1.example.
123,dnskey_removal-,NSEC Proof of NX,rsasha1,2265,"[1, 6, 6]",nx.dnskey_removal-rsasha1.example.
124,rrsig_removal-,NSEC Proof of NX,rsasha1,1622,"[1, 4, 4]",nx.rrsig_removal-rsasha1.example.
125,initial-,NSEC Proof of NX,rsasha256,807,"[1, 4, 4]",nx.initial-rsasha256.example.
126,new_rrsig-,NSEC Proof of NX,rsasha256,2244,"[1, 6, 6]",nx.new_rrsig-rsasha256.example.
127,new_dnskey-,NSEC Proof of NX,rsasha256,2253,"[1, 6, 6]",nx.new_dnskey-rsasha256.example.
128,dnskey_removal-,NSEC Proof of NX,rsasha256,2273,"[1, 6, 6]",nx.dnskey_removal-rsasha256.example.
129,rrsig_removal-,NSEC Proof of NX,rsasha256,1628,"[1, 4, 4]",nx.rrsig_removal-rsasha256.example.
130,initial-,NSEC Proof of NX,rsasha512,807,"[1, 4, 4]",nx.initial-rsasha512.example.
131,new_rrsig-,NSEC Proof of NX,rsasha512,2245,"[1, 6, 6]",nx.new_rrsig-rsasha512.example.
132,new_dnskey-,NSEC Proof of NX,rsasha512,2258,"[1, 6, 6]",nx.new_dnskey-rsasha512.example.
133,dnskey_removal-,NSEC Proof of NX,rsasha512,2275,"[1, 6, 6]",nx.dnskey_removal-rsasha512.example.
134,rrsig_removal-,NSEC Proof of NX,rsasha512,1634,"[1, 4, 4]",nx.rrsig_removal-rsasha512.example.
135,initial-,NSEC Proof of NX,ecdsa256,419,"[1, 4, 4]",nx.initial-ecdsa256.example.
136,new_rrsig-,NSEC Proof of NX,ecdsa256,1856,"[1, 6, 6]",nx.new_rrsig-ecdsa256.example.
137,new_dnskey-,NSEC Proof of NX,ecdsa256,1868,"[1, 6, 6]",nx.new_dnskey-ecdsa256.example.
138,dnskey_removal-,NSEC Proof of NX,ecdsa256,1887,"[1, 6, 6]",nx.dnskey_removal-ecdsa256.example.
139,rrsig_removal-,NSEC Proof of NX,ecdsa256,1628,"[1, 4, 4]",nx.rrsig_removal-ecdsa256.example.
140,initial-,NSEC Proof of NX,ecdsa384,483,"[1, 4, 4]",nx.initial-ecdsa384.example.
141,new_rrsig-,NSEC Proof of NX,ecdsa384,1921,"[1, 6, 6]",nx.new_rrsig-ecdsa384.example.
142,new_dnskey-,NSEC Proof of NX,ecdsa384,1928,"[1, 6, 6]",nx.new_dnskey-ecdsa384.example.
143,dnskey_removal-,NSEC Proof of NX,ecdsa384,1946,"[1, 6, 6]",nx.dnskey_removal-ecdsa384.example.
144,rrsig_removal-,NSEC Proof of NX,ecdsa384,1633,"[1, 4, 4]",nx.rrsig_removal-ecdsa384.example.
145,initial-,NSEC Proof of NX,ed25519,415,"[1, 4, 4]",nx.initial-ed25519.example.
146,new_rrsig-,NSEC Proof of NX,ed25519,1855,"[1, 6, 6]",nx.new_rrsig-ed25519.example.
147,new_dnskey-,NSEC Proof of NX,ed25519,1854,"[1, 6, 6]",nx.new_dnskey-ed25519.example.
148,dnskey_removal-,NSEC Proof of NX,ed25519,1881,"[1, 6, 6]",nx.dnskey_removal-ed25519.example.
149,rrsig_removal-,NSEC Proof of NX,ed25519,1625,"[1, 4, 4]",nx.rrsig_removal-ed25519.example.
150,initial-,NSEC Proof of NX,ed448,507,"[1, 4, 4]",nx.initial-ed448.example.
151,new_rrsig-,NSEC Proof of NX,ed448,1940,"[1, 6, 6]",nx.new_rrsig-ed448.example.
152,new_dnskey-,NSEC Proof of NX,ed448,1944,"[1, 6, 6]",nx.new_dnskey-ed448.example.
153,dnskey_removal-,NSEC Proof of NX,ed448,1967,"[1, 6, 6]",nx.dnskey_removal-ed448.example.
154,rrsig_removal-,NSEC Proof of NX,ed448,1618,"[1, 4, 4]",nx.rrsig_removal-ed448.example.
155,initial-,NSEC Proof of NX,falcon,1598,"[1, 4, 4]",nx.initial-falcon.example.
156,new_rrsig-,NSEC Proof of NX,falcon,3041,"[1, 6, 6]",nx.new_rrsig-falcon.example.
157,new_dnskey-,NSEC Proof of NX,falcon,3034,"[1, 6, 6]",nx.new_dnskey-falcon.example.
158,dnskey_removal-,NSEC Proof of NX,falcon,3072,"[1, 6, 6]",nx.dnskey_removal-falcon.example.
159,rrsig_removal-,NSEC Proof of NX,falcon,1615,"[1, 4, 4]",nx.rrsig_removal-falcon.example.
160,initial-,NSEC3 Proof of NX,rsasha1,833,"[1, 3, 3]",nx.initial-rsasha13.example.
161,new_rrsig-,NSEC3 Proof of NX,rsasha1,2270,"[1, 5, 5]",nx.new_rrsig-rsasha13.example.
162,new_dnskey-,NSEC3 Proof of NX,rsasha1,2275,"[1, 5, 5]",nx.new_dnskey-rsasha13.example.
163,dnskey_removal-,NSEC3 Proof of NX,rsasha1,2295,"[1, 5, 5]",nx.dnskey_removal-rsasha13.example.
164,rrsig_removal-,NSEC3 Proof of NX,rsasha1,1652,"[1, 3, 3]",nx.rrsig_removal-rsasha13.example.
165,initial-,NSEC3 Proof of NX,rsasha256,839,"[1, 3, 3]",nx.initial-rsasha2563.example.
166,new_rrsig-,NSEC3 Proof of NX,rsasha256,2279,"[1, 5, 5]",nx.new_rrsig-rsasha2563.example.
167,new_dnskey-,NSEC3 Proof of NX,rsasha256,2287,"[1, 5, 5]",nx.new_dnskey-rsasha2563.example.
168,dnskey_removal-,NSEC3 Proof of NX,rsasha256,2303,"[1, 5, 5]",nx.dnskey_removal-rsasha2563.example.
169,rrsig_removal-,NSEC3 Proof of NX,rsasha256,1657,"[1, 3, 3]",nx.rrsig_removal-rsasha2563.example.
170,initial-,NSEC3 Proof of NX,rsasha512,839,"[1, 3, 3]",nx.initial-rsasha5123.example.
171,new_rrsig-,NSEC3 Proof of NX,rsasha512,2275,"[1, 5, 5]",nx.new_rrsig-rsasha5123.example.
172,new_dnskey-,NSEC3 Proof of NX,rsasha512,2288,"[1, 5, 5]",nx.new_dnskey-rsasha5123.example.
173,dnskey_removal-,NSEC3 Proof of NX,rsasha512,2302,"[1, 5, 5]",nx.dnskey_removal-rsasha5123.example.
174,rrsig_removal-,NSEC3 Proof of NX,rsasha512,1663,"[1, 3, 3]",nx.rrsig_removal-rsasha5123.example.
175,initial-,NSEC3 Proof of NX,ecdsa256,452,"[1, 3, 3]",nx.initial-ecdsa2563.example.
176,new_rrsig-,NSEC3 Proof of NX,ecdsa256,1891,"[1, 5, 5]",nx.new_rrsig-ecdsa2563.example.
177,new_dnskey-,NSEC3 Proof of NX,ecdsa256,1897,"[1, 5, 5]",nx.new_dnskey-ecdsa2563.example.
178,dnskey_removal-,NSEC3 Proof of NX,ecdsa256,1914,"[1, 5, 5]",nx.dnskey_removal-ecdsa2563.example.
179,rrsig_removal-,NSEC3 Proof of NX,ecdsa256,1657,"[1, 3, 3]",nx.rrsig_removal-ecdsa2563.example.
180,initial-,NSEC3 Proof of NX,ecdsa384,517,"[1, 3, 3]",nx.initial-ecdsa3843.example.
181,new_rrsig-,NSEC3 Proof of NX,ecdsa384,1956,"[1, 5, 5]",nx.new_rrsig-ecdsa3843.example.
182,new_dnskey-,NSEC3 Proof of NX,ecdsa384,1958,"[1, 5, 5]",nx.new_dnskey-ecdsa3843.example.
183,dnskey_removal-,NSEC3 Proof of NX,ecdsa384,1983,"[1, 5, 5]",nx.dnskey_removal-ecdsa3843.example.
184,rrsig_removal-,NSEC3 Proof of NX,ecdsa384,1661,"[1, 3, 3]",nx.rrsig_removal-ecdsa3843.example.
185,initial-,NSEC3 Proof of NX,ed25519,450,"[1, 3, 3]",nx.initial-ed255193.example.
186,new_rrsig-,NSEC3 Proof of NX,ed25519,1889,"[1, 5, 5]",nx.new_rrsig-ed255193.example.
187,new_dnskey-,NSEC3 Proof of NX,ed25519,1889,"[1, 5, 5]",nx.new_dnskey-ed255193.example.
188,dnskey_removal-,NSEC3 Proof of NX,ed25519,1911,"[1, 5, 5]",nx.dnskey_removal-ed255193.example.
189,rrsig_removal-,NSEC3 Proof of NX,ed25519,1651,"[1, 3, 3]",nx.rrsig_removal-ed255193.example.
190,initial-,NSEC3 Proof of NX,ed448,543,"[1, 3, 3]",nx.initial-ed4483.example.
191,new_rrsig-,NSEC3 Proof of NX,ed448,1979,"[1, 5, 5]",nx.new_rrsig-ed4483.example.
192,new_dnskey-,NSEC3 Proof of NX,ed448,1980,"[1, 5, 5]",nx.new_dnskey-ed4483.example.
193,dnskey_removal-,NSEC3 Proof of NX,ed448,2003,"[1, 5, 5]",nx.dnskey_removal-ed4483.example.
194,rrsig_removal-,NSEC3 Proof of NX,ed448,1652,"[1, 3, 3]",nx.rrsig_removal-ed4483.example.
195,initial-,NSEC3 Proof of NX,falcon,1631,"[1, 3, 3]",nx.initial-falcon3.example.
196,new_rrsig-,NSEC3 Proof of NX,falcon,3060,"[1, 5, 5]",nx.new_rrsig-falcon3.example.
197,new_dnskey-,NSEC3 Proof of NX,falcon,3069,"[1, 5, 5]",nx.new_dnskey-falcon3.example.
198,dnskey_removal-,NSEC3 Proof of NX,falcon,3091,"[1, 5, 5]",nx.dnskey_removal-falcon3.example.
199,rrsig_removal-,NSEC3 Proof of NX,falcon,1657,"[1, 3, 3]",nx.rrsig_removal-falcon3.example.
200,initial-,2 A RRs with RRSIG,rsasha1,395,"[2, 2]",initial-rsasha1.example.
201,new_rrsig-,2 A RRs with RRSIG,rsasha1,1115,"[3, 3]",new_rrsig-rsasha1.example.
202,new_dnskey-,2 A RRs with RRSIG,rsasha1,1116,"[3, 3]",new_dnskey-rsasha1.example.
203,dnskey_removal-,2 A RRs with RRSIG,rsasha1,1129,"[3, 3]",dnskey_removal-rsasha1.example.
204,rrsig_removal-,2 A RRs with RRSIG,rsasha1,811,"[2, 2]",rrsig_removal-rsasha1.example.
205,initial-,2 A RRs with RRSIG,rsasha256,399,"[2, 2]",initial-rsasha256.example.
206,new_rrsig-,2 A RRs with RRSIG,rsasha256,1119,"[3, 3]",new_rrsig-rsasha256.example.
207,new_dnskey-,2 A RRs with RRSIG,rsasha256,1123,"[3, 3]",new_dnskey-rsasha256.example.
208,dnskey_removal-,2 A RRs with RRSIG,rsasha256,1131,"[3, 3]",dnskey_removal-rsasha256.example.
209,rrsig_removal-,2 A RRs with RRSIG,rsasha256,813,"[2, 2]",rrsig_removal-rsasha256.example.
210,initial-,2 A RRs with RRSIG,rsasha512,399,"[2, 2]",initial-rsasha512.example.
211,new_rrsig-,2 A RRs with RRSIG,rsasha512,1118,"[3, 3]",new_rrsig-rsasha512.example.
212,new_dnskey-,2 A RRs with RRSIG,rsasha512,1120,"[3, 3]",new_dnskey-rsasha512.example.
213,dnskey_removal-,2 A RRs with RRSIG,rsasha512,1134,"[3, 3]",dnskey_removal-rsasha512.example.
214,rrsig_removal-,2 A RRs with RRSIG,rsasha512,813,"[2, 2]",rrsig_removal-rsasha512.example.
215,initial-,2 A RRs with RRSIG,ecdsa256,205,"[2, 2]",initial-ecdsa256.example.
216,new_rrsig-,2 A RRs with RRSIG,ecdsa256,922,"[3, 3]",new_rrsig-ecdsa256.example.
217,new_dnskey-,2 A RRs with RRSIG,ecdsa256,927,"[3, 3]",new_dnskey-ecdsa256.example.
